und_codigo,und_descricao,und_sigla,und_municipio,und_coord,und_status,                                                      
81,ESCOLA ESTADUAL HOMERO DE MIRANDA LEAO,,MANAUS,COORD. DISTRITAL 06,Ativa,                                                                                                  
82,ESCOLA ESTADUAL INSPETORA DULCINEIA VARELA MOURA,,MANAUS,COORD. DISTRITAL 07,Ativa,                                                                                                   
83,ESCOLA ESTADUAL MARIA DO CEU VAZ D OLIVEIRA,,MANAUS,COORD. DISTRITAL 06,Ativa,                                                                                    
84,ESCOLA ESTADUAL PROF JOSE BERNARDINO LINDOSO,,MANAUS,COORD. DISTRITAL 06,Ativa,                                                                                        
86,ESCOLA ESTADUAL AGNELLO BITTENCOURT,,MANAUS,COORD. DISTRITAL 04,Ativa,                                                                                                                  
87,ESCOLA ESTADUAL AMELIA BITTENCOURT CARDINALE,,MANAUS,COORD. DISTRITAL 04,Ativa,                                                                                                           
88,ESCOLA ESTADUAL BENJAMIN MAGALHAES BRANDAO,,MANAUS,COORD. DISTRITAL 04,Ativa,                                                                               
89,ESCOLA ESTADUAL DUQUE DE CAXIAS,,MANAUS,COORD. DISTRITAL 04,Ativa,           
91,ESCOLA ESTADUAL SENADOR FLAVIO DA COSTA BRITO,,MANAUS,COORD. DISTRITAL 04,Ativa,                                                                                             
92,ESCOLA ESTADUAL JULIA BITTENCOURT,,MANAUS,COORD. DISTRITAL 04,Ativa,                                                                                                                   
93,ESCOLA ESTADUAL PE PEDRO GISLANDY,,MANAUS,COORD. DISTRITAL 04,Ativa,                                                                                                                           
94,ESCOLA ESTADUAL WALDEMIRO PERES LUSTOZA,,MANAUS,COORD. DISTRITAL 04,Ativa,                                                                                                 
95,ESCOLA ESTADUAL PROF ARISTOTELES COMTE DE ALENCAR,,MANAUS,COORD. DISTRITAL 05,Ativa,                                                               
96,ESCOLA ESTADUAL CACILDA BRAULE PINTO,,MANAUS,COORD. DISTRITAL 05,Ativa,                                                                                                                   
97,ESCOLA ESTADUAL DEP JOSUE CLAUDIO DE SOUZA,,MANAUS,COORD. DISTRITAL 05,Ativa,                                                                                                                       
98,ESCOLA ESTADUAL JOSE BENTES MONTEIRO,,MANAUS,COORD. DISTRITAL 03,Ativa,                                                                                                                   
99,ESCOLA ESTADUAL PROFA MARIA ARMINDA GUIMARAES DE ANDRADE,,MANAUS,COORD. DISTRITAL 05,Ativa,                                                                                                        
100,ESCOLA ESTADUAL PROFA MYRTHES MARQUES TRIGUEIRO,,MANAUS,COORD. DISTRITAL 05,Ativa,                                                                                            
101,ESCOLA ESTADUAL PROF REINALDO THOMPSON,,MANAUS,COORD. DISTRITAL 05,Ativa,                                                                                         
102,ESCOLA ESTADUAL SANT ANA,,MANAUS,COORD. DISTRITAL 02,Ativa,                                                                                                                       
103,ESCOLA ESTADUAL ALMIRANTE ERNESTO MELLO BAPTISTA,,MANAUS,COORD. DISTRITAL 02,Ativa,                                                                                
